title,publisher,year,year_missing,cover,cover_type,price,discount,original_price,savings_tenge,price_bucket,bonus,price_per_bonus,rating,review_count,popularity_score,stock,stock_status,genre,discount_bin,is_old,age_category
Кэрри,Аст,2013,False,твердый переплет,Hardcover,3765,0.0,3765.0,0.0,Mid (3-5k),38,99.08,4.8,112,4.538292305963847,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,Эксмо,2024,False,твердый переплет,Hardcover,9509,20.0,11886.0,2377.0,Luxury (8k+),95,100.09,5.0,34,3.5553480614894135,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Точка зрения Всеведущего читателя. Том 2,Кислород,2026,False,твердый переплет,Hardcover,4551,30.0,6501.0,1950.0,Mid (3-5k),46,98.93,5.0,5,1.791759469228055,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Перси Джексон и море Чудовищ,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,5.0,20,3.044522437723423,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Кэрри,Аст,2020,False,мягкая обложка,Paperback,2133,0.0,2133.0,0.0,Economy (1.5-3k),21,101.57,4.7,77,4.095306297088216,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Пять ночей у Фредди. Серебряные глаза,Эксмо,2017,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.9,76,4.25692931341661,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Хранитель Ардена,Freedom,2023,False,твердый переплет,Hardcover,5116,0.0,5116.0,0.0,Premium (5-8k),51,100.31,5.0,46,3.8501476017100584,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Солярис,Аст,2014,False,мягкая обложка,Paperback,2444,0.0,2444.0,0.0,Economy (1.5-3k),24,101.83,4.9,56,3.9621902424778597,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Тень ветра,Аст,2015,False,мягкая обложка,Paperback,2879,0.0,2879.0,0.0,Economy (1.5-3k),29,99.28,4.9,38,3.590290413207054,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Королевство серебряного пламени. Королевство стужи и звёздного света. Комплект из 2 книг,Азбука,2023,False,твердый переплет,Hardcover,11602,15.0,13649.0,2047.0,Luxury (8k+),116,100.02,5.0,2,1.0986122886681096,2026-04-27,In stock,Фантастика,Low (5-15%),False,Classic/Old
Дюна,Аст,2022,False,мягкая обложка,Paperback,3175,0.0,3175.0,0.0,Mid (3-5k),32,99.22,4.9,79,4.294386101980404,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Первоклассный адвокат. Том 1,Кислород,2025,False,твердый переплет,Hardcover,5046,30.0,7209.0,2163.0,Premium (5-8k),50,100.92,5.0,9,2.302585092994046,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Марсианин,Аст,2014,False,твердый переплет,Hardcover,4652,0.0,4652.0,0.0,Mid (3-5k),47,98.98,4.7,65,3.9382754575048398,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Поцелуй Зимы,Черным-бело,2023,False,твердый переплет,Hardcover,797,20.0,996.0,199.0,Budget (<1.5k),8,99.62,,0,,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Разломы,Marshmallow books,2025,False,мягкая обложка,Paperback,4700,20.0,5875.0,1175.0,Mid (3-5k),47,100.0,4.9,25,3.1929346072610527,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Ртуть,Аст,2026,False,твердый переплет,Hardcover,7961,0.0,7961.0,0.0,Premium (5-8k),80,99.51,5.0,7,2.0794415416798357,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Сияние вечного пламени,Кислород,2026,False,твердый переплет,Hardcover,7567,0.0,7567.0,0.0,Premium (5-8k),76,99.57,5.0,3,1.3862943611198906,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Игры королей. Изгнанник Ардена,Freedom. проза софи анри. миры магии и любви,2025,False,твердый переплет,Hardcover,4870,20.0,6088.0,1218.0,Mid (3-5k),49,99.39,5.0,11,2.4849066497880004,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Злой король,Freedom,2019,False,твердый переплет,Hardcover,3290,0.0,3290.0,0.0,Mid (3-5k),33,99.7,4.9,183,5.110637042456807,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Бегущий в Лабиринте,Аст,2021,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,5.0,27,3.332204510175204,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Перси Джексон и проклятие титана,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.9,17,2.8325643227382415,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Крах и восход,Аст,2018,False,твердый переплет,Hardcover,4821,0.0,4821.0,0.0,Mid (3-5k),48,100.44,4.9,67,4.135117551072585,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
1984,Аст,2022,False,твердый переплет,Hardcover,1752,0.0,1752.0,0.0,Economy (1.5-3k),18,97.33,4.9,19,2.935817628082911,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Метро 2034,Аст,2019,False,твердый переплет,Hardcover,9781,0.0,9781.0,0.0,Luxury (8k+),98,99.81,5.0,20,3.044522437723423,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Властелин колец,Аст,2016,False,твердый переплет,Hardcover,16331,0.0,16331.0,0.0,Luxury (8k+),163,100.19,4.9,110,4.615339597286088,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Система «Спаси-Себя-Сам» для Главного Злодея. Том 1,Эксмо,2023,False,твердый переплет,Hardcover,8965,20.0,11206.0,2241.0,Luxury (8k+),90,99.61,5.0,123,4.820281565605037,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Легендо,Freedom,2022,False,твердый переплет,Hardcover,5706,0.0,5706.0,0.0,Premium (5-8k),57,100.11,4.7,29,3.1971255387624264,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Последнее желание. Меч предназначения,Аст,2020,False,твердый переплет,Hardcover,4812,25.0,6416.0,1604.0,Mid (3-5k),48,100.25,5.0,33,3.5263605246161616,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Вавилон. Сокрытая история,Fanzon. fantasy world. большой покет с клапанами,2024,False,мягкая обложка,Paperback,5412,0.0,5412.0,0.0,Premium (5-8k),54,100.22,4.9,11,2.4352085167922404,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Во главе обмана,Эксмо,2026,False,твердый переплет,Hardcover,4386,20.0,5482.0,1096.0,Mid (3-5k),44,99.68,,0,,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Морана и Тень. Плетущая,Черным-бело,2025,False,твердый переплет,Hardcover,4525,0.0,4525.0,0.0,Mid (3-5k),45,100.56,5.0,50,3.9318256327243257,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Куджо,Аст,2025,False,твердый переплет,Hardcover,3933,0.0,3933.0,0.0,Mid (3-5k),39,100.85,4.6,19,2.7560736916696715,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Мессия Дюны. Дети Дюны,Аст,2024,False,твердый переплет,Hardcover,10375,0.0,10375.0,0.0,Luxury (8k+),104,99.76,5.0,6,1.9459101490553132,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Перси Джексон и похититель молний,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,5.0,15,2.772588722239781,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Песнь Кали,Аст,2025,False,мягкая обложка,Paperback,2189,0.0,2189.0,0.0,Economy (1.5-3k),22,99.5,5.0,11,2.4849066497880004,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Баллада о змеях и певчих птицах,Аст,2020,False,твердый переплет,Hardcover,4948,0.0,4948.0,0.0,Mid (3-5k),49,100.98,4.9,62,4.060272031863702,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Король в жёлтом,Аст,2024,False,мягкая обложка,Paperback,1816,0.0,1816.0,0.0,Economy (1.5-3k),18,100.89,4.6,8,2.021446611149322,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Демон из Пустоши. Колдун Российской империи,Эксмо,2024,False,твердый переплет,Hardcover,4186,20.0,5232.0,1046.0,Mid (3-5k),42,99.67,5.0,29,3.4011973816621555,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Принц Ардена,Freedom,2023,False,твердый переплет,Hardcover,4603,20.0,5754.0,1151.0,Mid (3-5k),46,100.07,4.8,68,4.064742244413369,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Таймлесс. Сапфировая книга,Робинс,2021,False,твердый переплет,Hardcover,3022,20.0,3778.0,756.0,Mid (3-5k),30,100.73,4.8,44,3.654395990179507,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Дюна,Аст,2023,False,твердый переплет,Hardcover,9781,0.0,9781.0,0.0,Luxury (8k+),98,99.81,5.0,62,4.143134726391533,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Сага о Видящих. Книги 1 и 2. Королевский убийца,Азбука,2017,False,твердый переплет,Hardcover,9014,25.0,12019.0,3005.0,Luxury (8k+),90,100.16,4.9,23,3.114492753740987,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Таймлесс. Изумрудная книга,Робинс,2020,False,твердый переплет,Hardcover,3524,20.0,4405.0,881.0,Mid (3-5k),35,100.69,4.9,42,3.6859761133796916,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Мобильник,Астрель,2018,False,твердый переплет,Hardcover,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.9,7,2.037852710846239,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Худеющий,Аст,2022,False,мягкая обложка,Paperback,2301,0.0,2301.0,0.0,Economy (1.5-3k),23,100.04,4.6,30,3.1592682281263342,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Хозяйка Дьявола,Clever,2025,False,твердый переплет,Hardcover,5012,20.0,6265.0,1253.0,Premium (5-8k),50,100.24,5.0,6,1.9459101490553132,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Мирабель. Как трудно быть послушным!,Эксмо,2022,False,твердый переплет,Hardcover,3806,20.0,4758.0,952.0,Mid (3-5k),38,100.16,5.0,2,1.0986122886681096,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Голодные игры. И вспыхнет пламя. Сойка-пересмешница,Аст,2015,False,твердый переплет,Hardcover,10375,0.0,10375.0,0.0,Luxury (8k+),104,99.76,4.9,133,4.799883003951893,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
"Франкенштейн, или Современный Прометей",Аст,2015,False,мягкая обложка,Paperback,1887,0.0,1887.0,0.0,Economy (1.5-3k),19,99.32,4.6,48,3.580474674261776,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Искра вечного пламени,Кислород,2025,False,твердый переплет,Hardcover,6491,0.0,6491.0,0.0,Premium (5-8k),65,99.86,5.0,4,1.6094379124341003,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Четыре жизни Хелен Ламберт,Эксмо,2026,False,мягкая обложка,Paperback,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.7,36,3.394262837885571,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Маленькая злая книга 4,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,5.0,37,3.6375861597263857,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Игра Джералда,Аст,2014,False,твердый переплет,Hardcover,3637,0.0,3637.0,0.0,Mid (3-5k),36,101.03,4.6,41,3.4386560488206985,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Королевство шипов и роз,Азбука,2023,False,суперобложка,Supercover,5476,20.0,6845.0,1369.0,Premium (5-8k),55,99.56,4.9,67,4.135117551072585,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Неночь,Аст,2018,False,твердый переплет,Hardcover,7188,0.0,7188.0,0.0,Premium (5-8k),72,99.83,4.7,53,3.7496450037704183,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Темная башня,Аст,2013,False,твердый переплет,Hardcover,5242,0.0,5242.0,0.0,Premium (5-8k),52,100.81,4.7,9,2.1644299874144033,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Амур и Психея. Повелители сердец,Clever,2025,False,мягкая обложка,Paperback,2645,25.0,3527.0,882.0,Economy (1.5-3k),26,101.73,4.9,70,4.17742627950049,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Пир стервятников,Астрель,2012,False,твердый переплет,Hardcover,11066,0.0,11066.0,0.0,Luxury (8k+),111,99.69,5.0,12,2.5649493574615367,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Vita Nostra,Эксмо,2023,False,мягкая обложка,Paperback,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.7,14,2.5455671890360776,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Однажды разбитое сердце,Freedom,2022,False,твердый переплет,Hardcover,5134,20.0,6418.0,1284.0,Premium (5-8k),51,100.67,5.0,9,2.302585092994046,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Граф Монте-Кристо. Комплект из 2 книг,Эксмо,2020,False,твердый переплет,Hardcover,7218,20.0,9022.0,1804.0,Premium (5-8k),72,100.25,4.9,29,3.3331734340289128,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
"Комплект книг Анны Джейн «По осколкам твоего сердца», «Твое сердце будет разбито»",Clever,2024,False,твердый переплет,Hardcover,4496,25.0,5995.0,1499.0,Mid (3-5k),45,99.91,4.8,5,1.7200890904589328,2026-04-27,In stock,Романы,Medium (15-30%),False,New
Сильнее ветра. Горизонт свободы,Аст,2025,False,мягкая обложка,Paperback,4652,0.0,4652.0,0.0,Mid (3-5k),47,98.98,5.0,6,1.9459101490553132,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Лунная тропа,Эксмо,2021,False,зарубежный романтический бестселлер. романы сары джио (обложка),Paperback,2014,20.0,2518.0,504.0,Economy (1.5-3k),20,100.7,4.9,56,3.9621902424778597,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Убежище,Аст,2022,False,твердый переплет,Hardcover,5876,0.0,5876.0,0.0,Premium (5-8k),59,99.59,5.0,35,3.58351893845611,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Искра жизни,Аст,2015,False,мягкая обложка,Paperback,2879,0.0,2879.0,0.0,Economy (1.5-3k),29,99.28,4.9,53,3.9092043656329896,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Изменить 6-го,Азбука,2024,False,мягкая обложка,Paperback,8164,15.0,9605.0,1441.0,Luxury (8k+),82,99.56,4.9,27,3.2655604199717,2026-04-27,In stock,Романы,Low (5-15%),False,New
Тайна повесы,Аст,2022,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,4.8,20,2.922741540214486,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Импринт,Аст,2024,False,твердый переплет,Hardcover,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.9,21,3.02922160429115,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Жестокий век,Азбука,2023,False,твердый переплет,Hardcover,6938,20.0,8672.0,1734.0,Premium (5-8k),69,100.55,4.8,18,2.8266614199997826,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Твое сердце будет разбито,Clever,2022,False,твердый переплет,Hardcover,3611,20.0,4514.0,903.0,Mid (3-5k),36,100.31,4.8,219,5.177882444498266,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Испорченный король,Аст,2024,False,твердый переплет,Hardcover,4821,0.0,4821.0,0.0,Mid (3-5k),48,100.44,4.8,40,3.5650291840361357,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Разрушительная ложь,Inspiria,2024,False,мягкая обложка,Paperback,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.6,48,3.580474674261776,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Дочь священника,Аст,2022,False,мягкая обложка,Paperback,2133,0.0,2133.0,0.0,Economy (1.5-3k),21,101.57,4.8,30,3.2966277163057405,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Охотясь на Аделин. Специальное издание,Аст,2024,False,твердый переплет,Hardcover,7775,0.0,7775.0,0.0,Premium (5-8k),78,99.68,4.9,21,3.02922160429115,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Испорченный,Аст,2022,False,твердый переплет,Hardcover,5538,0.0,5538.0,0.0,Premium (5-8k),55,100.69,4.7,62,3.8945466428080406,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Тошнота,Аст,2013,False,мягкая обложка,Paperback,2301,0.0,2301.0,0.0,Economy (1.5-3k),23,100.04,4.8,39,3.541324275949379,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Сёгун,Иностранка,2022,False,твердый переплет,Hardcover,10976,15.0,12913.0,1937.0,Luxury (8k+),110,99.78,4.7,23,2.9873706005270693,2026-04-27,In stock,Романы,Low (5-15%),False,Classic/Old
Поющие в терновнике,Аст,2014,False,твердый переплет,Hardcover,4229,0.0,4229.0,0.0,Mid (3-5k),42,100.69,4.9,65,4.105861647185897,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Война и мир. Книга 1,Аст,2015,False,мягкая обложка,Paperback,2239,0.0,2239.0,0.0,Economy (1.5-3k),22,101.77,4.8,25,3.127772676500623,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Запрети любить,Clever,2025,False,твердый переплет,Hardcover,4923,15.0,5792.0,869.0,Mid (3-5k),49,100.47,5.0,8,2.1972245773362196,2026-04-27,In stock,Романы,Low (5-15%),False,New
По осколкам твоего сердца,Clever,2025,False,твердый переплет,Hardcover,4215,25.0,5620.0,1405.0,Mid (3-5k),42,100.36,4.8,6,1.8680737430931007,2026-04-27,In stock,Романы,Medium (15-30%),False,New
Алхимик,Аст,2019,False,твердый переплет,Hardcover,4948,0.0,4948.0,0.0,Mid (3-5k),49,100.98,4.8,37,3.49208271333733,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
"Человек, который смеется",Аст,2022,False,мягкая обложка,Paperback,2133,0.0,2133.0,0.0,Economy (1.5-3k),21,101.57,4.7,117,4.484443546997725,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
"Разреши любить. Навсегда со мной, навсегда моя",Clever,2025,False,твердый переплет,Hardcover,2641,25.0,3521.0,880.0,Economy (1.5-3k),26,101.58,4.9,18,2.8855501995831117,2026-04-27,In stock,Романы,Medium (15-30%),False,New
Где властвует любовь,Аст,2022,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,4.9,45,3.7520685685593134,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Разрушительная любовь,Inspiria,2023,False,мягкая обложка,Paperback,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.6,134,4.512852796163355,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Цветы для Элджернона,Эксклюзивная фантастика,2022,False,твердый переплет,Hardcover,3388,20.0,4235.0,847.0,Mid (3-5k),34,99.65,4.9,240,5.375100994820842,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Али и Нино,Азбука,2022,False,the big book (мягкая обложка),Paperback,2135,20.0,2669.0,534.0,Economy (1.5-3k),21,101.67,4.6,37,3.3465792669482743,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Разрушительная игра,Inspiria,2023,False,мягкая обложка,Paperback,4356,0.0,4356.0,0.0,Mid (3-5k),44,99.0,4.7,94,4.280644278104509,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Коварная ложь,Аст,2025,False,твердый переплет,Hardcover,8594,0.0,8594.0,0.0,Luxury (8k+),86,99.93,5.0,3,1.3862943611198906,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Непокорная невеста,Аст,2024,False,твердый переплет,Hardcover,2639,35.0,4060.0,1421.0,Economy (1.5-3k),26,101.5,5.0,3,1.3862943611198906,2026-04-27,In stock,Романы,High (30%+),False,New
Узорный покров,Аст,2016,False,мягкая обложка,Paperback,2444,0.0,2444.0,0.0,Economy (1.5-3k),24,101.83,5.0,43,3.784189633918261,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Кровавый меридиан,Азбука,2023,False,the big book (мягкая обложка),Paperback,2280,20.0,2850.0,570.0,Economy (1.5-3k),23,99.13,4.8,40,3.5650291840361357,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
"Махаббат, қызық мол жылдар",Фолиант,2021,False,мягкая обложка,Paperback,1950,20.0,2438.0,488.0,Economy (1.5-3k),20,97.5,4.7,29,3.1971255387624264,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
Граф и гувернантка,Аст,2025,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,5.0,3,1.3862943611198906,2026-04-27,In stock,Романы,Minimal (0-5%),False,New
Почему мы болеем и как это остановить,Эксмо,2018,False,твердый переплет,Hardcover,2969,40.0,4948.0,1979.0,Economy (1.5-3k),30,98.97,,0,,2026-04-27,In stock,Романы,High (30%+),False,Classic/Old
Стигмалион,Аст,2018,False,твердый переплет,Hardcover,4948,0.0,4948.0,0.0,Mid (3-5k),49,100.98,4.8,178,4.979890373607125,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Таис Афинская,Азбука,2021,False,твердый переплет,Hardcover,2100,15.0,2471.0,371.0,Economy (1.5-3k),21,100.0,4.7,41,3.5134094411863663,2026-04-27,In stock,Романы,Low (5-15%),False,Classic/Old
Граф Монте-Кристо. Книга 1,Аст,2021,False,твердый переплет,Hardcover,2189,0.0,2189.0,0.0,Economy (1.5-3k),22,99.5,4.9,42,3.6859761133796916,2026-04-27,In stock,Романы,Minimal (0-5%),False,Classic/Old
Проклятые короли,Иностранка,2023,False,твердый переплет,Hardcover,7408,25.0,9877.0,2469.0,Premium (5-8k),74,100.11,5.0,9,2.302585092994046,2026-04-27,In stock,Романы,Medium (15-30%),False,Classic/Old
